regiao,sigla_uf,cod_macrorregiao_sus,nome_macrorregiao_sus,cod_microrregiao_sus,nome_microrregiao_sus,cod_sus,cod_ibge,nome_municipio
NORTE,RO,1101,MACRORREGIONAL II (CACOAL),11005,ZONA DA MATA,110001,1100015,ALTA FLORESTA D'OESTE
NORTE,RO,1102,MACRORREGIAO I - PORTO VELHO,11001,VALE DO JAMARI,110002,1100023,ARIQUEMES
NORTE,RO,1101,MACRORREGIONAL II (CACOAL),11006,CONE SUL,110003,1100031,CABIXI
NORTE,RO,1101,MACRORREGIONAL II (CACOAL),11002,CAFÉ,110004,1100049,CACOAL
NORTE,RO,1101,MACRORREGIONAL II (CACOAL),11006,CONE SUL,110005,1100056,CEREJEIRAS
NORTE,RO,1101,MACRORREGIONAL II (CACOAL),11006,CONE SUL,110006,1100064,COLORADO DO OESTE
NORTE,RO,1101,MACRORREGIONAL II (CACOAL),11006,CONE SUL,110007,1100072,CORUMBIARA
NORTE,RO,1101,MACRORREGIONAL II (CACOAL),11007,VALE DO GUAPORÉ,110008,1100080,COSTA MARQUES
NORTE,RO,1101,MACRORREGIONAL II (CACOAL),11002,CAFÉ,110009,1100098,ESPIGAO D'OESTE
NORTE,RO,1102,MACRORREGIAO I - PORTO VELHO,11004,MADEIRA-MAMORÉ,110010,1100106,GUAJARA-MIRIM
NORTE,RO,1102,MACRORREGIAO I - PORTO VELHO,11003,CENTRAL,110011,1100114,JARU
NORTE,RO,1101,MACRORREGIONAL II (CACOAL),11003,CENTRAL,110012,1100122,JI-PARANA
NORTE,RO,1102,MACRORREGIAO I - PORTO VELHO,11001,VALE DO JAMARI,110013,1100130,MACHADINHO D'OESTE
NORTE,RO,1101,MACRORREGIONAL II (CACOAL),11005,ZONA DA MATA,110014,1100148,NOVA BRASILANDIA D'OESTE
NORTE,RO,1101,MACRORREGIONAL II (CACOAL),11003,CENTRAL,110015,1100155,OURO PRETO DO OESTE
NORTE,RO,1101,MACRORREGIONAL II (CACOAL),11002,CAFÉ,110018,1100189,PIMENTA BUENO
NORTE,RO,1102,MACRORREGIAO I - PORTO VELHO,11004,MADEIRA-MAMORÉ,110020,1100205,PORTO VELHO
NORTE,RO,1101,MACRORREGIONAL II (CACOAL),11003,CENTRAL,110025,1100254,PRESIDENTE MEDICI
NORTE,RO,1102,MACRORREGIAO I - PORTO VELHO,11001,VALE DO JAMARI,110026,1100262,RIO CRESPO
NORTE,RO,1101,MACRORREGIONAL II (CACOAL),11005,ZONA DA MATA,110028,1100288,ROLIM DE MOURA
NORTE,RO,1101,MACRORREGIONAL II (CACOAL),11005,ZONA DA MATA,110029,1100296,SANTA LUZIA D'OESTE
NORTE,RO,1101,MACRORREGIONAL II (CACOAL),11006,CONE SUL,110030,1100304,VILHENA
NORTE,RO,1101,MACRORREGIONAL II (CACOAL),11003,CENTRAL,110032,1100320,SAO MIGUEL DO GUAPORE
NORTE,RO,1102,MACRORREGIAO I - PORTO VELHO,11004,MADEIRA-MAMORÉ,110033,1100338,NOVA MAMORE
NORTE,RO,1101,MACRORREGIONAL II (CACOAL),11003,CENTRAL,110034,1100346,ALVORADA D'OESTE
NORTE,RO,1101,MACRORREGIONAL II (CACOAL),11005,ZONA DA MATA,110037,1100379,ALTO ALEGRE DOS PARECIS
NORTE,RO,1102,MACRORREGIAO I - PORTO VELHO,11001,VALE DO JAMARI,110040,1100403,ALTO PARAISO
NORTE,RO,1102,MACRORREGIAO I - PORTO VELHO,11001,VALE DO JAMARI,110045,1100452,BURITIS
NORTE,RO,1101,MACRORREGIONAL II (CACOAL),11005,ZONA DA MATA,110050,1100502,NOVO HORIZONTE DO OESTE
NORTE,RO,1102,MACRORREGIAO I - PORTO VELHO,11001,VALE DO JAMARI,110060,1100601,CACAULANDIA
NORTE,RO,1102,MACRORREGIAO I - PORTO VELHO,11001,VALE DO JAMARI,110070,1100700,CAMPO NOVO DE RONDONIA
NORTE,RO,1102,MACRORREGIAO I - PORTO VELHO,11004,MADEIRA-MAMORÉ,110080,1100809,CANDEIAS DO JAMARI
